DESTABILIZING ENERGIES BY SIZE OF LOOP (INTERPOLATE WHERE NEEDED)
hp3 ave calc no tmm;hp4 ave calc with tmm; ave all bulges
SIZE         INTERNAL          BULGE            HAIRPIN
-------------------------------------------------------
1               .                3.9               .
2              4.1               3.1               .
3              4.5               3.5              4.5
4              4.9               4.2              5.5
5              5.3               4.8              4.9
6              5.7               5.0              5.1
7              5.9               5.2              5.2
8              6.0               5.3              5.5
9              6.1               5.4              5.8
10             6.3               5.5              5.9
11             6.4               5.7              6.0
12             6.4               5.7              6.1
13             6.5               5.8              6.2
14             6.6               5.9              6.3
15             6.7               6.0              6.4
16             6.8               6.1              6.4
17             6.8               6.1              6.5
18             6.9               6.2              6.5
19             6.9               6.2              6.6
20             7.0               6.3              6.7
21             7.1               6.3              6.7
22             7.1               6.4              6.8
23             7.1               6.4              6.8
24             7.2               6.5              6.9
25             7.2               6.5              6.9
26             7.3               6.5              6.9
27             7.3               6.6              7.0
28             7.4               6.7              7.0
29             7.4               6.7              7.1
30             7.4               6.7              7.1
